"","S_U28","S_U10","S_T48","S_T41","S_T35","S_T23","S_T21","S_T07","S_R53","S_R44","S_R43B","S_R43A","S_R39","S_R36B","S_R36A","S_LGB","S_C06","F_U10F","F_T48M","F_T48F","F_T41M","F_T41F","F_T35M","F_T35F","F_T23M","F_T23F","F_T21M","F_T21F","F_T07F","F_R53M","F_R53F","F_R44M","F_R44F","F_R43M","F_R43F","F_R40M","F_R40F","F_R37M","F_R37F2","F_R37F","F_R36M","F_R36F","F_R26M","F_R26F","F_LGBF","F_C14M","F_C14F"
"S_R43B",0.589955156950673,0.694618834080717,0.743677130044843,0.55542600896861,0.569058295964126,0.652914798206278,0.639282511210762,0.574887892376682,0.638744394618834,0.47237668161435,0,0.59237668161435,0.581793721973094,0.586995515695067,0.503946188340807,0.531121076233184,0.580089686098655,0.789955156950673,0.620448430493274,0.632645739910314,0.517847533632287,0.533094170403587,0.797578475336323,0.564394618834081,0.604663677130045,0.589596412556054,0.64304932735426,0.855605381165919,0.539551569506726,0.697847533632287,0.606816143497758,0.63085201793722,0.606188340807175,0.713094170403587,0.568430493273543,0.992107623318386,0.554887892376682,0.566816143497758,0.77847533632287,0.93695067264574,0.740986547085202,0.588161434977578,0.686636771300448,0.60932735426009,0.581255605381166,0.685739910313901,0.640089686098655
"S_R43A",0.483497757847534,0.611031390134529,0.734260089686099,0.594529147982063,0.434439461883408,0.438116591928251,0.435156950672646,0.615515695067265,0.540089686098655,0.686457399103139,0.59237668161435,0,0.571659192825112,0.582600896860987,0.794439461883408,0.390941704035874,0.526008968609865,0.781793721973094,0.607354260089686,0.512107623318386,0.434887892376682,0.435784753363229,0.80780269058296,0.400269058295964,0.421076233183857,0.408071748878924,0.362690582959641,0.8447533632287,0.513452914798206,0.646636771300448,0.543856502242152,0.443408071748879,0.338026905829596,0.562959641255605,0.229058295964126,0.986008968609865,0.325291479820628,0.37695067264574,0.797309417040359,0.935605381165919,0.606726457399103,0.430762331838565,0.613273542600897,0.444484304932735,0.39390134529148,0.513004484304933,0.481434977578475
"S_R39",0.570224215246637,0.667982062780269,0.724304932735426,0.634618834080718,0.638654708520179,0.677309417040359,0.605022421524664,0.637668161434978,0.673363228699552,0.72,0.581793721973094,0.571659192825112,0,0.616860986547085,0.728071748878924,0.505560538116592,0.580448430493274,0.773004484304933,0.678834080717489,0.627443946188341,0.607174887892377,0.616860986547085,0.833363228699552,0.594080717488789,0.665381165919283,0.663139013452915,0.651928251121076,0.887085201793722,0.644215246636771,0.72762331838565,0.657040358744395,0.647443946188341,0.629506726457399,0.719820627802691,0.571479820627803,0.974529147982063,0.568968609865471,0.6247533632287,0.83372197309417,0.904932735426009,0.699730941704036,0.621255605381166,0.705112107623318,0.579282511210762,0.566995515695067,0.677578475336323,0.652466367713004
"S_R36B",0.633991031390135,0.718116591928251,0.76914798206278,0.608520179372197,0.675784753363229,0.698654708520179,0.669506726457399,0.695874439461883,0.65067264573991,0.741704035874439,0.586995515695067,0.582600896860987,0.616860986547085,0,0.717757847533632,0.589955156950673,0.664484304932735,0.810941704035874,0.692017937219731,0.67085201793722,0.648968609865471,0.652914798206278,0.813004484304933,0.655156950672646,0.654977578475336,0.658744394618834,0.599282511210762,0.840627802690583,0.624932735426009,0.682421524663677,0.618654708520179,0.687892376681614,0.642780269058296,0.709506726457399,0.541345291479821,0.982242152466368,0.567354260089686,0.638026905829596,0.833811659192825,0.91695067264574,0.760986547085202,0.653273542600897,0.715695067264574,0.627354260089686,0.627982062780269,0.712286995515695,0.68170403587444
"S_R36A",0.723408071748879,0.731210762331839,0.8552466367713,0.754170403587444,0.762421524663677,0.800269058295964,0.809686098654709,0.727085201793722,0.791031390134529,0.342331838565022,0.503946188340807,0.794439461883408,0.728071748878924,0.717757847533632,0,0.751210762331839,0.637847533632287,0.79372197309417,0.791569506726457,0.799730941704036,0.720358744394619,0.754887892376682,0.870044843049327,0.768789237668161,0.75067264573991,0.777130044843049,0.811748878923767,0.870313901345292,0.739103139013453,0.766457399103139,0.759910313901345,0.797937219730942,0.807085201793722,0.815605381165919,0.779372197309417,0.944394618834081,0.758116591928251,0.748789237668161,0.803139013452915,0.893004484304933,0.79695067264574,0.756860986547085,0.785470852017937,0.777399103139014,0.789596412556054,0.739641255605381,0.742780269058296
"S_LGB",0.46,0.639730941704036,0.717937219730942,0.547085201793722,0.505201793721973,0.520358744394619,0.480269058295964,0.55219730941704,0.597578475336323,0.662600896860987,0.531121076233184,0.390941704035874,0.505560538116592,0.589955156950673,0.751210762331839,0,0.503946188340807,0.813273542600897,0.586008968609866,0.463766816143498,0.45695067264574,0.453273542600897,0.81829596412556,0.440179372197309,0.50762331838565,0.484125560538117,0.523946188340807,0.869596412556054,0.490044843049327,0.675605381165919,0.589506726457399,0.533811659192825,0.44914798206278,0.674529147982063,0.418565022421525,0.992645739910314,0.378744394618834,0.441345291479821,0.816322869955157,0.92,0.636412556053812,0.444035874439462,0.617399103139013,0.420448430493274,0.319551569506726,0.611838565022422,0.546636771300448
"S_C06",0.529237668161435,0.636681614349776,0.751748878923767,0.650941704035874,0.549237668161435,0.64609865470852,0.523318385650224,0.610403587443946,0.662421524663677,0.659103139013453,0.580089686098655,0.526008968609865,0.580448430493274,0.664484304932735,0.637847533632287,0.503946188340807,0,0.748789237668161,0.632825112107623,0.552107623318386,0.48627802690583,0.48627802690583,0.815874439461883,0.514080717488789,0.611031390134529,0.594260089686099,0.59847533632287,0.844125560538117,0.587533632286996,0.761973094170404,0.678295964125561,0.541345291479821,0.54457399103139,0.689596412556054,0.508520179372197,0.961434977578475,0.548251121076233,0.527443946188341,0.799372197309417,0.872107623318386,0.649596412556054,0.504663677130045,0.648251121076233,0.513542600896861,0.49542600896861,0.570044843049327,0.539192825112108
"F_U10F",0.649775784753363,0.555605381165919,0.83542600896861,0.80914798206278,0.774798206278027,0.834887892376682,0.781255605381166,0.775067264573991,0.860717488789238,0.863587443946188,0.789955156950673,0.781793721973094,0.773004484304933,0.810941704035874,0.79372197309417,0.813273542600897,0.748789237668161,0,0.723856502242152,0.783856502242152,0.720358744394619,0.738923766816143,0.84,0.781704035874439,0.778206278026906,0.823587443946188,0.782062780269058,0.763408071748879,0.69219730941704,0.849506726457399,0.786905829596413,0.753452914798206,0.788340807174888,0.768251121076233,0.726457399103139,0.855695067264574,0.788699551569507,0.737219730941704,0.6047533632287,0.868071748878924,0.818026905829596,0.82627802690583,0.793452914798206,0.819461883408072,0.804484304932735,0.714618834080717,0.682959641255605
"F_T48M",0.505919282511211,0.611031390134529,0.678116591928251,0.646547085201794,0.546367713004484,0.676233183856502,0.601793721973094,0.470224215246637,0.751300448430493,0.783856502242152,0.620448430493274,0.607354260089686,0.678834080717489,0.692017937219731,0.791569506726457,0.586008968609866,0.632825112107623,0.723856502242152,0,0.426008968609865,0.429955156950673,0.455336322869955,0.774977578475336,0.472466367713004,0.606457399103139,0.624484304932735,0.60152466367713,0.836322869955157,0.494529147982063,0.784304932735426,0.72304932735426,0.519192825112108,0.566008968609865,0.670403587443946,0.539551569506726,0.971838565022421,0.637847533632287,0.55542600896861,0.784843049327354,0.929775784753363,0.731569506726457,0.593542600896861,0.677219730941704,0.587892376681614,0.570134529147982,0.685381165919283,0.592735426008969
"F_T48F",0.485022421524664,0.628430493273543,0.651659192825112,0.624843049327354,0.562242152466368,0.606367713004484,0.507713004484305,0.64609865470852,0.713991031390135,0.735964125560538,0.632645739910314,0.512107623318386,0.627443946188341,0.67085201793722,0.799730941704036,0.463766816143498,0.552107623318386,0.783856502242152,0.426008968609865,0,0.427982062780269,0.422511210762332,0.794798206278027,0.431210762331839,0.572556053811659,0.578923766816144,0.587264573991031,0.847443946188341,0.589237668161435,0.759461883408072,0.685291479820628,0.52627802690583,0.488071748878924,0.680627802690583,0.477309417040359,0.974439461883408,0.538385650224215,0.509237668161435,0.831569506726457,0.926726457399103,0.612466367713004,0.429686098654709,0.603318385650224,0.422331838565022,0.434349775784753,0.638744394618834,0.599820627802691
